NAMES,REVIEWS,RATING
PK,"

  Though it is android TV comes with pre-installed PRIME VIDEO and other Video apps, Prime video and other apps are getting crashed.  i have raised complaint to Amazon to troubleshoot the issue and their technician has reported that TV has issues without showing-up to my house . i've also contacted VU customer service, they said this model has issue. i really had bad experience with amazon service. the lesson i learnt is buy it from your local shops around you, instead of going through this hardship. Zero Star for their valuable service. i don't thing Amazon will post my review.

",1.0 out of 5 stars
Mitaaly N,"

  So, bought this TV during the recent Great Indian sale.1) This TV is apt for viewing distance of 10-15 feet - Comes with the wall mount.2) The picture quality and sound is actually good - Not attaching images as I am not good with photography.3) Pre-installed apps are working fine (Netflix/Zee5/Hotstar/the usual runners).4) Play store provides ample other options.What's not working:1) So, this probably is a Amazon Prime issue. I am not sure (need to call Amazon) but my Prime is not working. Like the device is registering to my account however when I try to play the video - I get a msg to go to amazon.com/videohelp. Which really is not helping. I can cast via my phone though so I guess, it's not a complete dead end.2) Phone mirroring works however lags by a few seconds.Overall, a must buy at the discounted price that I bought it - INR 18k.Final word, a big thank you to the installation team. Missed the first schedule (understandable during sale season) however, second run wasn't a Miss and the guy was good. No hassle and polite.

",4.0 out of 5 stars
Ketul,"

  Nice as under 12k. Will update review and share once use for six months .as I seen it's required proper 4g speed which not available in india at all locations even in metro.

",4.0 out of 5 stars
Leelaram D.,"

  This tv is good sale if you get during great indian sale with exchange...bank discount ...with Amazon pay balance 1000 cashback....Everything is good ...only one thing missing is voice search....I have installed android remote control and connect with Bluetooth option..Google voice search works fine....

",5.0 out of 5 stars
Archit O.,"

  True Android TV running smoothly on Android 9.0.Pros -Total value for money, way ahead of Mi Tv or any other low budget buy in this price rangeAndroid 9.0 and all featured apps working like a charmDecent looks and premium remoteCons-Sound quality, picture clarity is slightly under par when compared to LGs, Sony, and Samsungs but hey you are paying way less for it.**Prime Videos were not working initially but after an OS update and restart, it is working seamlessly.

",5.0 out of 5 stars
Gaurav Chavan,"

  Honest Review.*Price- I got this with exchange and card discounts at 12k.. Without exchange u can het this around 17k.*Display - I am a marvel fan, i like to watch super heroes movies and this TV is a treat. Good clarity, color reproduction. No complaints from my end on this.. Yes i have observed that when we see from side closely we see little negative images maybe because of big screen to believe me this won't be a problem as i never had.. We see movies from from not from completely edge side of tv right..*Sound - Sound is decent don't expect to work like soundbar.. I had LG tv earlier and comparing that with this sound is 40% better louder and clear.. But if u wish to have home theatre experience get home theater..*Processor- To be honest i dont have any technical info on this but yes i download 1080p HD BluRay Movies in HEVC (Highly compress) format. My LG TV never read this format but this TV play smoothly without any glitches..  I have also downloaded MX player (as this is android tv).*Casting- Yes this is where i removed one star.. Casting need Internet connection unlike other Mi smart tv which works directly without Internet. Was very difficult for me to cast mobile to TV, at the end i used my mobile hot-spot to do so. This can be resolved with firestick (i had this earliesr to make my normal LG TV smart) or any other smart casting device which normally cost 1k. If anyone knows how to cast offline in this TV pls let me know.*Connectivity - No problem here.. It has Bluetooth, wifi, 3.5 jack, HDMI Arc.... Refer my screenshot..Conclusion : With this said i am happy with my android TV.. I get real Theater experience with big screen watching HD movies..You would get many reviews here but believe me there is nothing in this TV which may make u regret buying it..

",4.0 out of 5 stars
Sandeep (Bangalore),"

  Plain cheating by Vu - this TV does not support Prime Video and Netflix, although the apps come pre-loaded and the remote comes with dedicated buttons. Secondly, it's got an extremely slow processor. Even YouTube takes a lot of time to load. Lastly, it was a nightmare to return this TV. I must have spent several hours over one week with Amazon customer care, to finally get the return approved.Both Prime Video Customer Care as well as the Vu company's technicians told me that this TV wouldn't run Prime Video and Netflix. It's shocking that Vu is so blatantly misleading their online customers; equally shocking is the fact that Amazon is also not doing anything about it.

",1.0 out of 5 stars
Vijay Akkenapally,"

  After updating software which VU sent process documents via email. Amazon prime is working.

",5.0 out of 5 stars
Amazon Customer,"

  Good but Amazon prime doesn't work with the inbuilt app. Also some inbuilt app force close themselves. Buggy software.Update: There was an update to the software. Amazon prime is working now. Good quality TV with super clarity and colour reproduction.

",5.0 out of 5 stars
Pavan,"

  Amazing Build Quality ,picture and sound and software is a little bit messy at first because Amazon Prime will not work ,so what i did was contacted VU Technical Support and they have released an update of 852 mb.Now you should install that update and once again check Amazon Prime,if the problem persists you should factory reset your smart TV.This will automatically updates the old version to new version and Amazon prime will work Flawlessly.Google chromecast works fine nothing to worry about.casted a Amazon prime video (when inbuilt app was not working ) for about 3 hours without issueNeed to check Netflix and Kodi and keep you posted.

",5.0 out of 5 stars
